index,price,brand,model,year,title_status,mileage,color,vin
731,25000,chevrolet,impala,2020,clean vehicle,18715,silver,  1g1105s31lu100901
732,2800,chevrolet,cruze,2012,clean vehicle,61258,white,  1g1pl5sc7c7367895
733,3300,chevrolet,door,2012,clean vehicle,131791,no_color,  1gnkvjedxcj172991
734,36400,chevrolet,suburban,2019,clean vehicle,35705,silver,  1gnskhkcxkr139079
735,34800,chevrolet,suburban,2019,clean vehicle,48982,silver,  1gnskhkc2kr158368
736,20700,chevrolet,ld,2019,clean vehicle,33745,white,  2gcrcpec4k1155751
737,32200,chevrolet,suburban,2019,clean vehicle,42267,silver,  1gnschkc9kr204131
738,35300,chevrolet,tahoe,2019,clean vehicle,46863,black,  1gnskbkc9kr143993
739,33500,chevrolet,suburban,2019,clean vehicle,36443,white,  1gnschkc2kr124931
740,13700,chevrolet,impala,2019,clean vehicle,14939,blue,  2g11z5s30k9137729
741,15900,chevrolet,malibu,2019,clean vehicle,22026,black,  1g1zd5st0kf187281
742,33200,chevrolet,suburban,2019,clean vehicle,38278,black,  1gnschkc9kr201844
743,35500,chevrolet,suburban,2019,clean vehicle,46149,silver,  1gnskhkc1kr203879
744,29800,chevrolet,suburban,2018,clean vehicle,48427,silver,  1gnschkc6jr106222
745,29800,chevrolet,suburban,2018,clean vehicle,48807,gray,  1gnschkc1jr387653
746,29500,chevrolet,suburban,2018,clean vehicle,52618,silver,  1gnschkc1jr235923
747,30300,chevrolet,suburban,2018,clean vehicle,46494,white,  1gnschkc5jr280816
748,24300,chevrolet,1500,2018,clean vehicle,56296,black,  3gcukreh2jg284677
749,29800,chevrolet,suburban,2017,clean vehicle,33909,silver,  1gnschkc4hr206149
750,29800,chevrolet,suburban,2017,clean vehicle,33028,white,  1gnschkc3hr133923
751,27500,chevrolet,camaro,2016,clean vehicle,44653,white,  1g1fh1r79g0149647
752,10800,chevrolet,door,2017,clean vehicle,80516,gray,  2gnfleek2h6351253
753,11500,chevrolet,van,2017,clean vehicle,105151,white,  1gcwgaff8h1120366
754,10400,chevrolet,van,2017,clean vehicle,78368,white,  3n63m0yn6hk696088
755,11400,chevrolet,equinox,2018,clean vehicle,78956,white,  2gnaxsevxj6292207
756,11400,chevrolet,equinox,2018,clean vehicle,88564,white,  2gnaxsev1j6218321
757,8000,chevrolet,door,2015,clean vehicle,78800,white,  1g11b5sl5ff135735
758,3000,chevrolet,door,2012,clean vehicle,111856,white,  1gccsbf92c8121126
759,25000,chevrolet,door,2015,clean vehicle,80946,black,  3gcuksec6fg382971
760,12300,chevrolet,traverse,2017,clean vehicle,83168,gray,  1gnkrfed3hj217603
761,14100,chevrolet,traverse,2017,clean vehicle,58606,white,  1gnkrfed7hj307708
762,9000,chevrolet,van,2014,clean vehicle,82020,white,  1gcsgafx9e1173192
763,4200,chevrolet,door,2014,clean vehicle,102500,black,  1g1p75sz3e7332279
764,22500,chevrolet,van,2019,clean vehicle,8150,white,  1gcwgafg5k1229335
765,22600,chevrolet,van,2019,clean vehicle,6159,white,  1gcwgafg1k1229638
766,22600,chevrolet,van,2019,clean vehicle,5938,white,  1gcwgafg2k1222357
